year,month,carrier,tailnum,origin,dest,subroute,route_frequency
2008,1,UA,N942UA,ORD,ATL,ORD-ATL,1
2008,1,UA,N942UA,IAD,BDL,IAD-BDL,1
2008,1,UA,N942UA,ORD,BDL,ORD-BDL,1
2008,1,UA,N942UA,SFO,BUR,SFO-BUR,1
2008,1,UA,N942UA,ORD,BWI,ORD-BWI,1
2008,1,UA,N942UA,ORD,CLE,ORD-CLE,4
2008,1,UA,N942UA,ORD,CMH,ORD-CMH,1
2008,1,UA,N942UA,ORD,CVG,ORD-CVG,1
2008,1,UA,N942UA,ORD,DAY,ORD-DAY,1
2008,1,UA,N942UA,ORD,DCA,ORD-DCA,5
2008,1,UA,N942UA,DSM,DEN,DSM-DEN,2
2008,1,UA,N942UA,IAH,DEN,IAH-DEN,1
2008,1,UA,N942UA,ICT,DEN,ICT-DEN,1
2008,1,UA,N942UA,IND,DEN,IND-DEN,2
2008,1,UA,N942UA,PDX,DEN,PDX-DEN,1
2008,1,UA,N942UA,SEA,DEN,SEA-DEN,1
2008,1,UA,N942UA,STL,DEN,STL-DEN,1
2008,1,UA,N942UA,ORD,DFW,ORD-DFW,5
2008,1,UA,N942UA,DEN,DSM,DEN-DSM,2
2008,1,UA,N942UA,ORD,DSM,ORD-DSM,2
2008,1,UA,N942UA,DEN,GEG,DEN-GEG,1
2008,1,UA,N942UA,BDL,IAD,BDL-IAD,1
2008,1,UA,N942UA,MSY,IAD,MSY-IAD,1
2008,1,UA,N942UA,ORD,IAD,ORD-IAD,2
2008,1,UA,N942UA,ORD,IAH,ORD-IAH,1
2008,1,UA,N942UA,DEN,ICT,DEN-ICT,1
2008,1,UA,N942UA,DEN,IND,DEN-IND,2
2008,1,UA,N942UA,ORD,JAX,ORD-JAX,2
2008,1,UA,N942UA,ORD,LGA,ORD-LGA,6
2008,1,UA,N942UA,ORD,MCI,ORD-MCI,1
2008,1,UA,N942UA,ORD,MDT,ORD-MDT,2
2008,1,UA,N942UA,ORD,MHT,ORD-MHT,2
